client_ts,market_ticker,seq,price,delta,side,msg_type
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,1,10000,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,2,3300,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,3,700,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,4,200,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,5,100,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,7,100,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,14,100,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,17,100,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,18,223,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,20,40,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,25,253,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,26,245,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,27,245,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,28,170,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,29,162,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,30,128,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,31,64,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,32,32,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,39,1111,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,40,3860,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,41,4610,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,42,5341,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,43,8686,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,44,2578,yes,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,1,10000,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,2,3300,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,3,700,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,4,1200,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,5,54,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,16,100,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,20,100,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,21,238,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,25,100,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,27,100,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,31,25,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,33,200,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,35,50,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,36,253,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,37,245,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,38,245,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,39,170,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,40,162,no,snapshot
1755011968711,KXMLBGAME-25AUG12ATLNYM-ATL,1,41,128,no,snapshot
