client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1753454290747,1753454290,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,72,yes
1753454308327,1753454308,KXMLBGAME-25JUL25TORDET-DET,51,49,235,yes
1753454323826,1753454323,KXMLBGAME-25JUL25PHINYY-PHI,42,58,57,yes
1753454338787,1753454338,KXMLBGAME-25JUL25CLEKC-KC,52,48,3,yes
1753454362886,1753454362,KXMLBGAME-25JUL25COLBAL-COL,36,64,2,yes
1753454362947,1753454362,KXMLBGAME-25JUL25COLBAL-COL,36,64,5,yes
1753454378088,1753454378,KXMLBGAME-25JUL25CHCCWS-CWS,39,61,4,yes
1753454411827,1753454411,KXMLBGAME-25JUL25ARIPIT-PIT,50,50,11,yes
1753454438086,1753454438,KXMLBGAME-25JUL25SDSTL-SD,55,45,800,yes
1753454438188,1753454438,KXMLBGAME-25JUL25ARIPIT-PIT,49,51,25,no
1753454438188,1753454438,KXMLBGAME-25JUL25ARIPIT-PIT,49,51,50,no
1753454480067,1753454480,KXMLBGAME-25JUL25MIAMIL-MIA,34,66,140,yes
1753454483386,1753454483,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,21,yes
1753454528128,1753454528,KXMLBGAME-25JUL25ATHHOU-HOU,57,43,170,yes
1753454562946,1753454562,KXMLBGAME-25JUL25TBCIN-TB,50,50,147,yes
1753454562946,1753454562,KXMLBGAME-25JUL25TBCIN-TB,50,50,46,yes
1753454567027,1753454566,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,7,yes
1753454581608,1753454581,KXMLBGAME-25JUL25ARIPIT-PIT,49,51,62,yes
1753454589248,1753454589,KXMLBGAME-25JUL25ATHHOU-ATH,43,57,89,yes
1753454594006,1753454593,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,7,yes
1753454594928,1753454594,KXMLBGAME-25JUL25TORDET-DET,51,49,216,yes
1753454614068,1753454614,KXMLBGAME-25JUL25NYMSF-SF,57,43,73,yes
1753454631005,1753454630,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,729,yes
1753454673947,1753454673,KXMLBGAME-25JUL25PHINYY-NYY,59,41,32,yes
1753454686245,1753454686,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,51,yes
1753454707806,1753454707,KXMLBGAME-25JUL25SDSTL-SD,55,45,11,yes
1753454717527,1753454717,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,72,yes
1753454745428,1753454745,KXMLBGAME-25JUL25TORDET-TOR,50,50,19,yes
1753454751844,1753454751,KXMLBGAME-25JUL25ARIPIT-PIT,50,50,193,yes
1753454802026,1753454801,KXMLBGAME-25JUL25COLBAL-BAL,65,35,9,yes
1753454804046,1753454804,KXMLBGAME-25JUL25SDSTL-SD,55,45,546,yes
1753454847345,1753454847,KXMLBGAME-25JUL25TORDET-TOR,50,50,9,yes
1753454855226,1753454855,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,14,yes
1753454893126,1753454893,KXMLBGAME-25JUL25SDSTL-SD,55,45,81,yes
1753454924326,1753454924,KXMLBGAME-25JUL25TORDET-DET,51,49,2489,yes
1753454925908,1753454925,KXMLBGAME-25JUL25MIAMIL-MIA,34,66,2,yes
1753454936526,1753454936,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,36,yes
1753454941813,1753454941,KXMLBGAME-25JUL25NYMSF-SF,57,43,66,yes
1753454960330,1753454960,KXMLBGAME-25JUL25NYMSF-SF,57,43,1,yes
1753455061287,1753455061,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,14,yes
1753455082828,1753455082,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,14,yes
1753455113525,1753455113,KXMLBGAME-25JUL25SEALAA-SEA,55,45,3,yes
1753455127647,1753455127,KXMLBGAME-25JUL25LADBOS-BOS,49,51,501,yes
1753455153690,1753455153,KXMLBGAME-25JUL25CHCCWS-CHC,62,38,36,yes
1753455162506,1753455162,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,1,yes
1753455186145,1753455186,KXMLBGAME-25JUL25WSHMIN-MIN,61,39,1,yes
1753455229326,1753455229,KXMLBGAME-25JUL25PHINYY-PHI,42,58,2,yes
1753455238146,1753455238,KXMLBGAME-25JUL25SDSTL-STL,46,54,14,yes
1753455261227,1753455261,KXMLBGAME-25JUL25TBCIN-TB,51,49,13,yes
1753455263652,1753455263,KXMLBGAME-25JUL25CHCCWS-CWS,39,61,24,yes
1753455273285,1753455273,KXMLBGAME-25JUL25PHINYY-PHI,42,58,16,yes
1753455286566,1753455286,KXMLBGAME-25JUL25ATHHOU-ATH,43,57,13,yes
1753455286566,1753455286,KXMLBGAME-25JUL25ATHHOU-ATH,44,56,2,yes
1753455303808,1753455303,KXMLBGAME-25JUL25COLBAL-COL,36,64,18,yes
1753455322006,1753455321,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,14,yes
1753455324266,1753455324,KXMLBGAME-25JUL25MIAMIL-MIA,34,66,19,yes
1753455343626,1753455343,KXMLBGAME-25JUL25ATLTEX-ATL,42,58,16,yes
1753455352466,1753455352,KXMLBGAME-25JUL25ATHHOU-ATH,44,56,2,yes
1753455360587,1753455360,KXMLBGAME-25JUL25TORDET-TOR,49,51,13,yes
1753455371668,1753455371,KXMLBGAME-25JUL25LADBOS-BOS,49,51,13,yes
1753455378746,1753455378,KXMLBGAME-25JUL25ARIPIT-ARI,51,49,43,yes
1753455383845,1753455383,KXMLBGAME-25JUL25ARIPIT-PIT,50,50,13,yes
1753455383926,1753455383,KXMLBGAME-25JUL25MIAMIL-MIA,34,66,1,yes
1753455395566,1753455395,KXMLBGAME-25JUL25SEALAA-LAA,46,54,14,yes
1753455406827,1753455406,KXMLBGAME-25JUL25WSHMIN-WSH,41,59,16,yes
1753455418905,1753455418,KXMLBGAME-25JUL25CLEKC-CLE,49,51,13,yes
1753455431706,1753455431,KXMLBGAME-25JUL25CHCCWS-CWS,39,61,17,yes
1753455453905,1753455453,KXMLBGAME-25JUL25NYMSF-NYM,44,56,15,yes
1753455467125,1753455467,KXMLBGAME-25JUL25CHCCWS-CHC,62,38,15,yes
1753455483005,1753455482,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,43,yes
1753455484226,1753455484,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,3,yes
1753455501886,1753455501,KXMLBGAME-25JUL25COLBAL-BAL,65,35,3,yes
1753455505066,1753455505,KXMLBGAME-25JUL25ATHHOU-HOU,57,43,25,yes
1753455533785,1753455533,KXMLBGAME-25JUL25COLBAL-BAL,65,35,78,yes
1753455555084,1753455555,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,5,yes
1753455566366,1753455566,KXMLBGAME-25JUL25TBCIN-CIN,51,49,72,yes
1753455587464,1753455587,KXMLBGAME-25JUL25SEALAA-SEA,55,45,17,yes
1753455595907,1753455595,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,21,yes
1753455637485,1753455637,KXMLBGAME-25JUL25MIAMIL-MIL,67,33,145,yes
